
2024/05/17 (22:31:16) | ===> btop++ v.1.3.2
2024/05/17 (22:31:16) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/19 (18:36:09) | ===> btop++ v.1.3.2
2024/05/19 (18:36:09) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/20 (17:11:17) | ===> btop++ v.1.3.2
2024/05/20 (17:11:17) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/21 (09:07:19) | ===> btop++ v.1.3.2
2024/05/21 (09:07:19) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/22 (16:41:12) | ===> btop++ v.1.3.2
2024/05/22 (16:41:12) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/05/23 (13:34:17) | ===> btop++ v.1.3.2
2024/05/23 (13:34:17) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
